Nom,Lieu,Date
1. Les Vieilles Charrues,Carhaix-Plouguer,Du jeudi 13 juillet au lundi 17 juillet
2. Hellfest,Clisson,Du jeudi 15 juin au dimanche 18 juin
3. Solidays,Hippodrome De Longchamp,Du vendredi 23 juin au dimanche 25 juin
4. Lollapalooza,Hippodrome De Longchamp,Du vendredi 21 juillet au dimanche 23 juillet
5. Eurockéennes,"Presqu’île du Malsaucy, Belfort",Du jeudi 29 juin au dimanche 2 juillet
6. Main Square,La Citadelle d’Arras,Du vendredi 30 juin au dimanche 2 juillet
7. Francofolies,La Rochelle,Du mercredi 12 juillet au dimanche 16 juillet
8. Rock en Seine,Saint-Cloud,Du mercredi 23 août au dimanche 27 août
Montjoux Festival,Thonon-les-Bains,Du jeudi 13 juillet au samedi 15 juillet
Musilac,Aix-Les-Bains,Du mercredi 5 juillet au samedi 8 juillet
Les Ardentes,Liège,Du jeudi 6 juillet au dimanche 9 juillet
Paléo Festival Nyon,Près de Nyon,Du mardi 18 juillet au dimanche 23 juillet
